name,name
"Charles Karipova","Alex Larson"
"Charles Karipova","Bruno Karipova"
"Charles Karipova","Bruno Parker"
"Charles Karipova","Charles Peterson"
"Charles Karipova","David Parker"
"Charles Karipova","Denny Goldstein"
"Charles Karipova","Denny Keit"
"Charles Karipova","Denny Toddbridge"
"Charles Karipova","Elena DSouza"
"Charles Karipova","Emma Goldstein"
"Charles Karipova","Emma Parker"
"Charles Karipova","Gabriela Li"
"Charles Karipova","George Parker"
"Charles Karipova","Jeremy Goldstein"
"Charles Karipova","Jeremy Parker"
"Charles Karipova","Mandy Wood"
"Charles Karipova","Monica Keit"
"Charles Karipova","Monica Lomet"
"Charles Karipova","Nadir Karipova"
"Charles Karipova","Nadir Li"
"Charles Karipova","Roger Larson"
"Charles Karipova","Sam Goldstein"
"Charles Karipova","Sam Larson"
"Charles Karipova","Sam Peterson"
"Charles Karipova","Tina Keit"
"Charles Karipova","Tom Chrysler"
"Charles Parker","Albert Li"
"Charles Parker","Alex Peterson"
"Charles Parker","Bruno Karipova"
"Charles Parker","Charles Karipova"
"Charles Parker","Charles Peterson"
"Charles Parker","David Parker"
"Charles Parker","Denny Goldstein"
"Charles Parker","Denny Keit"
"Charles Parker","Denny Toddbridge"
"Charles Parker","Elena DSouza"
"Charles Parker","Emma Goldstein"
"Charles Parker","Emma Parker"
"Charles Parker","Gabriela Li"
"Charles Parker","George Parker"
"Charles Parker","Gina Larson"
"Charles Parker","Jeremy Goldstein"
"Charles Parker","Jeremy Parker"
"Charles Parker","Mandy Wood"
"Charles Parker","Monica DSouza"
"Charles Parker","Monica Keit"
"Charles Parker","Monica Lomet"
"Charles Parker","Nadir Li"
"Charles Parker","Roger Larson"
"Charles Parker","Sam Goldstein"
"Charles Parker","Tina Keit"
"Charles Parker","Tom Chrysler"
"Charles Parker","Tom Wood"
"Charles Peterson","Albert Li"
"Charles Peterson","Alex Larson"
"Charles Peterson","Bruno Karipova"
"Charles Peterson","Bruno Parker"
"Charles Peterson","Charles Karipova"
"Charles Peterson","Charles Parker"
"Charles Peterson","Denny Goldstein"
"Charles Peterson","Denny Toddbridge"
"Charles Peterson","Elena DSouza"
"Charles Peterson","Emma Goldstein"
"Charles Peterson","Gabriela Li"
"Charles Peterson","George Parker"
"Charles Peterson","Gina Larson"
"Charles Peterson","Jeremy Carey"
"Charles Peterson","Jeremy Goldstein"
"Charles Peterson","Jeremy Parker"
"Charles Peterson","John Parker"
"Charles Peterson","Mandy Wood"
"Charles Peterson","Monica DSouza"
"Charles Peterson","Monica Keit"
"Charles Peterson","Monica Lomet"
"Charles Peterson","Nadir Karipova"
"Charles Peterson","Roger Larson"
"Charles Peterson","Sam Goldstein"
"Charles Peterson","Sam Larson"
"Charles Peterson","Tina Keit"
"Charles Peterson","Tom Chrysler"
"Charles Peterson","Tom Wood"
"David Parker","Albert Karipova"
"David Parker","Albert Larson"
"David Parker","Albert Li"
"David Parker","Alex Larson"
"David Parker","Alex Peterson"
"David Parker","Bruno Karipova"
"David Parker","Bruno Parker"
"David Parker","Charles Karipova"
"David Parker","Charles Parker"
"David Parker","Charles Peterson"
"David Parker","Denny Goldstein"
